variant,final_loss,final_precision,final_recall,final_f1
FedAvg,0.02251204253461125,0.7374941004890065,0.8804437195053623,0.7982403391637299
FedProx (mu=0.01),0.019108603259194116,0.6464874155641195,0.896018930477857,0.7438604862282289
FedAvg+DP (noise=0.1),0.11290719248127987,0.7619628066030775,0.7392547342610143,0.7479419100362061
FedAvg+DP (noise=0.2),0.09792705504038335,0.7060184131254829,0.762634142544892,0.7288457692926719
